,year,kind,genre,country,language,rating,vote
604,76,1,14,9,16,9,410
605,84,3,7,9,16,7,4555
606,80,3,5,2,16,5,642
607,85,4,2,6,33,7,866
608,83,0,6,9,16,8,121
609,81,3,7,9,16,5,188
610,83,7,14,9,16,7,307
611,81,1,1,10,16,4,3382
612,67,4,7,8,16,7,1294
613,44,1,4,1,20,7,19638
615,83,1,7,9,16,5,210
616,80,1,6,9,16,7,791
617,85,7,6,10,16,3,99
618,85,1,2,6,33,7,2134
619,82,1,6,9,16,6,245
620,85,7,4,9,16,5,22
621,80,3,5,9,16,6,669
622,21,1,6,9,16,7,103
623,64,3,4,9,16,8,117
624,81,7,13,9,16,3,4227
625,85,0,7,7,41,8,13
626,75,7,14,9,16,8,80
627,82,1,22,6,33,8,6
628,87,7,2,6,33,5,949
629,79,1,6,9,16,7,3471
630,82,1,5,8,16,6,13659
631,80,2,2,6,33,6,1169
632,78,1,0,10,35,5,380
633,78,7,14,9,16,7,126
634,86,7,13,9,16,4,170
635,85,7,0,0,16,4,6151
636,78,3,7,9,16,7,975
637,84,4,2,6,33,6,58
638,86,3,4,9,16,7,45
639,64,1,4,8,16,6,2592
640,83,1,5,6,33,6,1396
641,83,3,3,9,16,6,1303
642,81,7,1,9,16,6,95
643,51,1,1,10,48,8,13965
644,82,1,4,1,20,5,606
645,86,1,6,9,3,6,388
646,87,7,4,9,16,4,672
647,68,7,2,9,16,6,33
648,51,1,7,4,26,7,1778
649,77,4,4,9,16,6,14
650,84,1,5,1,20,7,7107
651,70,1,0,10,48,7,2119
652,83,1,6,9,16,6,2648
653,85,1,2,6,16,7,14244
654,40,1,13,8,16,6,3862
655,84,1,4,0,16,6,615
656,85,1,0,3,7,6,13014
657,83,4,2,6,33,7,94
658,86,7,14,9,33,9,713
659,85,3,0,10,16,4,2738
661,82,2,2,6,33,8,16324
662,81,7,6,9,16,6,23
663,86,2,2,6,16,8,10760
664,82,4,2,6,16,6,204
665,84,1,4,2,16,6,106385
667,41,4,7,9,41,9,75772
668,14,1,7,9,16,6,1430
669,67,1,5,1,20,7,1408
670,81,7,6,9,16,3,27
671,63,1,13,8,16,4,3422
672,37,1,4,9,16,7,36647
673,50,1,7,5,32,7,12908
674,64,1,1,10,16,5,4286
675,48,1,4,9,16,5,2016
676,85,7,0,9,16,4,851
677,84,2,13,9,16,6,23430
678,75,1,0,4,26,7,23023
679,87,7,2,9,16,6,1066
680,84,1,4,10,13,6,1513
681,81,1,0,3,7,6,398
682,58,1,4,9,16,5,1779
683,81,1,7,6,33,5,181
684,85,3,7,9,16,5,796
685,80,1,0,3,7,5,210
686,86,3,5,0,16,5,1218
687,64,4,4,8,16,8,36939
688,61,1,0,10,16,5,727
689,38,0,1,7,16,6,6
690,80,3,6,9,16,7,654
691,86,7,2,9,16,6,40
692,87,7,13,9,16,3,1403
693,74,3,1,9,16,5,2598
694,86,7,14,2,16,8,71
695,64,1,2,1,20,7,5328
696,82,3,4,9,16,1,1170
697,55,0,1,8,16,7,438
698,85,0,6,7,41,7,97
699,86,1,7,4,26,6,2078
700,85,1,6,9,16,6,38
701,78,1,7,9,16,6,1057
702,86,1,6,9,16,6,617
703,81,7,6,2,22,9,1733
704,44,1,0,6,33,8,48962
705,79,4,2,7,41,8,1496
706,67,2,5,8,16,7,307
707,44,1,0,8,16,7,2466
708,31,1,10,8,16,8,165033
709,83,0,6,9,16,7,21
710,78,1,7,9,16,4,5772
711,86,1,6,9,16,6,5
712,86,1,0,10,35,8,38784
714,81,4,4,9,16,7,556
715,67,7,14,9,16,8,94
716,56,1,7,9,16,6,828
717,80,1,7,9,16,5,425
